Plan, Parent, Alias: Alias: English, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (KKUFIN), Aggregation (KKUFIN), Data Storage (KKUFIN), Formula (KKUFIN), Solve Order (KKUFIN), Formula Description (KKUFIN), Plan Type (KKUPLN), Aggregation (KKUPLN), Data Storage (KKUPLN), Formula (KKUPLN), Solve Order (KKUPLN), Formula Description (KKUPLN), Operation
2000,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,20ad837c-a2b3-4bbf-aaf8-96d59b6582f5,753413726684881,2000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
1000,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b3a7c5d7-b591-46f6-aaf2-a19e1c4d014f,3061709580617000,1000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
1001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b8b05547-35c3-4e66-9971-8974db48000c,248872787922281,1001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
3002,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,385eb266-f401-4380-8711-958be8ea9ca8,1593815729979738,3002,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
5000,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f54ce537-63ff-4dfe-9679-ad53c40120e4,2482990735773166,5000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
5001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6d6ae6ee-5975-4b4f-8ef5-2463c3a71627,638148173579776,5001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
3001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d87894eb-fb2e-4813-abb1-ea597214f912,773378440183923,3001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
3101,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f42e10c0-a83a-4333-a4ae-a1cb49cf4e91,891963531414362,3101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
6001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,394d4bb1-061a-462f-af0e-9b48798337db,1896821010156322,6001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
6101,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,30a87441-8585-4931-9ebd-3df085e3e3d8,2617131102981665,6101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
7001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0a9583a5-d60d-45a8-9b2c-5b57ee68f2e8,2123218958110569,7001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
0009,All Plan,,0009: สร้างแผนงาน,false,store,false,,<none>,<none>,New,,unspecified,none,,,,false,true,405beaad-5dd0-42b4-b173-6db02d7b4e31,2415650951744112,0009,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
0003,All Plan,,0003: ทดสอบเพิ่มแผนงาน,false,store,false,,<none>,<none>,New,,unspecified,none,,,,false,true,b5016a94-e7bd-4d5d-b059-19e038a4e186,72232108836433,0003,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
1219,All Plan,,1219: ทดสอบสร้างแผนงาน,false,store,false,,<none>,<none>,New,,unspecified,none,,,,false,true,6c5bfe2d-56a6-44ff-b92d-f7b384a34976,2750343218152515,1219,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
8888,All Plan,,8888: ทดสอบการสร้างแผนงาน,false,store,false,,<none>,<none>,New,,unspecified,none,,,,false,true,881d9415-1eed-4abd-8699-748f1ad8e62f,2880270735655649,8888,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9991,All Plan,,,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,d3fdcc9a-b684-41cc-8c81-63b5864713be,136659802866221,9991,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
0001,All Plan,,0001:เพิ่มแผนงาน,false,store,false,เพิ่มแผนงาน,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,83d60571-078e-4036-b655-a5967ec8c923,2782118694636819,0001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
1101,All Plan,,1101:แผนงานค่าใช้จ่ายบุคลากร,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,b6bfe0e8-41a9-40b0-b81d-c167528712bd,1083305765523419,1101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9010,All Plan,,9010:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,04eb6b9c-05f7-4764-9360-cd8f788b5d82,1121980490269694,9010,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9011,All Plan,,9011:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,eb10622c-3f72-4a93-b1d0-09e9e28046d1,2723657329885662,9011,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9012,All Plan,,9012:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,b0b90471-7370-48ab-9ba4-c42508724610,4005819582137491,9012,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9013,All Plan,,9013:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,b6b52571-d463-4df9-8abc-b7fd9fad39ad,4111463416743199,9013,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9014,All Plan,,9014:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,aa6063c1-15b0-4d8f-b9a1-063b6d489567,462648577576592,9014,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9015,All Plan,,9015:ค่าใช้จ่ายบริหารส่วนกลางมหาวิทยาลัย,false,store,false,,<none>,<none>,Interfaced,,unspecified,none,,,,false,true,2dbf8a8b-2173-4744-a052-f1be024d792d,1202507799937695,9015,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
4001,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,325dd2ba-b411-46ea-b20a-c79b565f5691,473406753622101,4001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
0000,All Plan,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f4b64c97-35b9-4581-85b1-b82ce908eb4a,2234795071458481,0000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2001,All Plan,,2001 : แผนงานบริหารและสนับสนุนการดำเนินงานของมหาวิทยาลัย ส่วนงาน และหน่วยงาน,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5ad9ad99-b7ac-4bb2-bd08-12ebd31d2279,1911007383077020,2001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2106,All Plan,,2106:แผนงานสนับสนุนการจัดการเรียนกา,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2e7c1717-31dd-415a-bc72-a9bb3f1bcb05,2433492264045516,2106,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2199,All Plan,,2199:แผนงานจัดการศึกษาด้านวิทยาศาสต,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,4284e120-a32d-4787-9d48-924f00a6e060,3046326516206642,2199,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2299,All Plan,,2299:แผนงานจัดการศึกษาด้านวิทยาศาสต,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0d5f2862-4f73-4887-aefa-e69f97ae4666,3193735670810310,2299,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2399,All Plan,,2399:แผนงานจัดการศึกษาด้านสังคมศาสต,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,21bf4a98-eab0-4557-b633-9668bb66e486,2965159614824919,2399,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2501,All Plan,,2501:โครงการผลิตแพทย์เพิ่ม,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,db94197a-1288-4122-9671-d49a5cd2bedd,3471574480799744,2501,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2601,All Plan,,2601:โครงการการจัดการศึกษาตั้งแต่ระ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,05ecf85f-8849-483c-8345-340ecb16c736,655701175844952,2601,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2701,All Plan,,2701:แผนงานเร่งรัดการจัดการเรียนการ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,69a96114-e0d7-4b01-bb4e-66825eadf44b,1403331386294289,2701,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2801,All Plan,,2801:แผนงานทำนุบำรุงศิลปวัฒนธรรม,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5aa61366-22a6-450b-a8ac-9ddbd20822b5,2637204338787640,2801,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2901,All Plan,,2901:โครงการสนับสนุนการจัดตั้งห้องเ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e1de05e5-7414-40b2-bf96-2a79cc2acff3,2728433591405623,2901,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
4101,All Plan,,4101:แผนงานการให้บริการวิชาการ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,207bff89-462f-451d-8993-9930f0142b75,4427893170848135,4101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2401,All Plan,,2401:แผนงานเพิ่มศักยภาพการให้บริการ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,51ff88c7-2d2e-4e07-ad95-909d0cd9635a,3588173202015269,2401,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
