KKUPL01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,With Period Beginning Balance,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Company,,,,,,มหาวิทยาลัยขอนแก่น,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balancing Segment,,,,,,1 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
Account Segment,,,,,,3201010100 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
,,,,,,,,,,,,,,,,,,,,,ทุนสำรองสะสม,
,,,,,,,,,,,,,,,,,,,,,,
1-01-00901-3201010100-02-0000-0000-000000-000000-0-2568,,,มหาวิทยาลัยขอนแก่น-สำนักงานอธิการบดี-อธิการบดี-บัญชีทุนสำรองสะสม \- สนง.อ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2568,,,,0,0,,0,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,,,,,,,,,,,,,, 
1-01-01001-3201010100-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-สำนักงานอธิการบดี-สำนักงานอธิการบดี-บัญชีทุนสำรองสะสม \- สนง.อ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,18047832.52,808099519.56,,0,790051687.04,,0,0,,0,0,18047832.52,,808099519.56,0,790051687.04
,,,,,,,,,,,,,,,,,,,,,, 
1-01-01001-3201010100-06-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-สำนักงานอธิการบดี-สำนักงานอธิการบดี-บัญชีทุนสำรองสะสม \- สนง.อ-งบประมาณเงินอุดหนุนจากรัฐ-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,348927,654675894.63,,0,654326967.63,,0,0,,0,0,348927,,654675894.63,0,654326967.63
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010100.0,,,,18396759.52,,1462775414.19,0.0,,1444378654.67,0.0,,0,0.0,,0,18396759.52,,1462775414.19,0,1444378654.67
